Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Price_log
79545.45857431678,5.682861321615587,7.009188142792237,4.09,23086.800502686456,1059033.5578701235,13.872868256600805
79248.64245482568,6.0028998082752425,6.730821019094919,3.09,40173.07217364482,1505890.91484695,14.224895915076468
61287.067178656784,5.865889840310001,8.512727430375099,5.13,36882.15939970458,1058987.9878760849,13.872825225923325
63345.24004622798,7.1882360945186425,5.586728664827653,3.26,34310.24283090706,1260616.8066294468,14.047112481480537
59982.197225708034,5.040554523106283,7.839387785120487,4.23,26354.109472103148,630943.4893385402,13.354973165131417
80175.7541594853,4.9884077575337145,6.104512439428879,4.04,26748.428424689715,1068138.0743935304,13.881428509494055
64698.46342788773,6.025335906887153,8.147759585023431,3.41,60828.24908540716,1502055.8173744078,14.222345938403285
78394.33927753085,6.9897797477182815,6.620477995185026,2.42,36516.35897249384,1573936.5644777217,14.26909104038603
59927.66081334963,5.36212556960358,6.3931209805509015,2.3,29387.39600281585,798869.5328331633,13.590954175114902
81885.92718409566,4.423671789897876,8.167688003472351,6.1,40149.96574921337,1545154.8126419624,14.25063531283545
80527.47208292288,8.09351268063935,5.042746799645982,4.1,47224.35984022191,1707045.722158058,14.350275372320606
50593.69549704281,4.496512793097035,7.467627404008019,4.49,34343.991885578806,663732.3968963273,13.405635837133266
73163.6634410467,6.919534825456555,5.9931879009455695,2.27,32326.123139488096,1291331.5184858206,14.07118520326824
69391.3801843616,5.344776176735725,8.406417714534253,4.37,35521.294033173246,1402818.2101658515,14.153994491313115
73091.86674582321,5.443156466535474,8.517512711137975,4.01,23929.524053267956,1306674.6599511993,14.082996805690565
79706.96305765743,5.067889591058972,8.219771123286257,3.12,39717.81357630952,1556786.6001947748,14.258135025450743
61929.07701808926,4.788550241805888,5.0970095543775615,4.3,24595.90149782299,528485.2467305964,13.177772060738297
63508.19429942997,5.947165139552473,7.187773835329727,5.12,35719.653052030866,1019425.9367578316,13.834751200668682
62085.27640340488,5.739410843630574,7.09180810424997,5.49,44922.106702293066,1030591.4292116084,13.845644368848511
86294.99908871058,6.627456939781737,8.011897853150563,4.07,47560.77533629521,2146925.339888662,14.5795477678833
60835.08997885398,5.551221591990328,6.517175038094777,2.1,45574.74166225795,929247.5995364,13.74213158106813
64490.65026675507,4.210322870054841,5.478087730769143,4.31,40358.96010561757,718887.2315009277,13.485461174690423
60697.35153944832,6.1704840908385,7.150536572335959,6.34,28140.96708772475,743999.8191601974,13.519797414836393
59748.85548697423,5.3393398807459,7.7486816056065955,4.23,27809.986543758896,895737.1333835076,13.705403387391486
56974.47653879643,8.287562193759008,7.312879971463007,4.33,40694.86951302233,1453974.505950872,14.189812090957691
82173.62607584603,4.018524684942813,6.992698756791841,2.03,38853.91806648168,1125692.507295288,13.933909854621978
64626.88097813548,5.443359590192101,6.98875353866204,4.0,27784.74228018588,975429.4927929222,13.790634183603489
59323.79209970036,6.9778279401788375,8.273697077776598,4.07,37520.65773244972,1577017.7600015546,14.271046761880477
77811.52203457447,5.31446021480662,6.686686133004718,3.24,33754.737804984616,1246830.1884286287,14.036115841343197
68652.60921090658,6.124342100310332,6.290820166996657,4.42,39355.625729470295,1170720.893654292,13.973131119629098
55041.35158333917,7.127128552732308,8.591923294114,5.36,30122.473483557947,1071279.210244544,13.884364949424883
50218.70846300072,6.118808130610341,7.333554072097737,6.29,16810.783311257936,534305.1323349292,13.188724235205338
55909.322295153535,5.419562910682705,9.28985437225882,6.0,22355.23540666912,936368.9634048606,13.749765937412983
74372.81020915511,5.500128572841659,6.593045603910363,2.07,39395.15118232914,1199193.8313295112,13.99716091566243
78667.90459764737,5.470652206754396,7.780836692853298,4.1,27637.656548218994,1233220.009477811,14.02514001140254
78699.51510291034,5.6527836365363004,6.756453856250772,3.01,22836.60756949132,1081150.1254838074,13.893536888407658
53128.18544891443,5.180664124823801,5.4269028586106165,2.39,32947.711955068946,524712.7660674525,13.170608185403546
58566.84936342057,6.5796914528777375,5.034525351903061,2.17,39705.4649593564,1026817.399788458,13.841975647363231
75537.79451000034,7.8452159144441715,7.555660720822218,6.3,32778.1953418883,1762214.6795818857,14.382082484106363
46147.053056343386,6.623332829320711,7.606831549667412,4.43,27161.12860794621,882057.1705928424,13.69001328586723
70421.4764876077,6.9070829699853125,7.634318731446652,4.44,43183.92848788104,1744932.210990927,14.37222683838241
62614.420619127326,5.499309697116084,7.440505217892156,6.32,26888.57956293911,1153871.4695016337,13.95863420824629
66394.87158584829,7.069512153837191,7.204639709248285,3.18,39741.07750943353,1499988.8795226102,14.22096891906475
73946.85107397818,4.863154306054972,7.537182365353192,6.35,35261.12701836895,1109588.380162506,13.91950057706683
69144.74570743984,7.296224496862651,5.928223472951472,3.22,19030.6154867746,980177.3051371255,13.795489778114424
77278.69702818657,6.238891014754013,6.919204136372873,2.13,21725.95428963467,1323952.027425176,14.096132537074192
86754.1966286121,6.604439818568124,6.252454805349369,4.02,43017.44075715364,1662494.7355443896,14.323830486422775
74399.84098191423,6.382452912235433,7.252665322385219,6.36,41084.6628246322,1417819.740218086,14.164631560747242
49408.19834014432,5.825920475606762,5.831738972572462,3.32,26881.130597967134,549976.1455595789,13.217632002817243
62279.79005157392,6.108449991281682,6.306116349848911,4.12,35263.65313745236,1054770.980647526,13.868835169444745
73078.20408561832,5.923906389599877,6.445456690525836,3.32,54915.96178198404,1415647.553437237,14.163098325704782
72942.70505913401,4.786222295086708,7.319885530125552,6.41,24377.90904931656,948788.2757094484,13.762942004157344
63819.62285114139,5.949839470643138,8.022469239326934,4.09,27825.57206129437,1159596.518619623,13.963583536168452
73265.44988790638,8.314761978982546,7.4255974600340915,3.24,21030.96617717162,1547133.3964004477,14.251915001283004
68488.13117301985,6.116111748260705,7.182527480002909,5.08,18267.954705638844,1186688.505938349,13.986678060552151
55193.857453150056,7.186120666999299,5.096917456207575,4.01,32537.81876891801,772111.9721021007,13.55688615522053
77434.68924044503,6.309271353146576,5.219754029195479,3.06,36252.34068234427,1172730.155769318,13.974845907649172
66158.88158501312,4.476429066464847,6.91174261004152,2.28,37098.74217235172,1111085.0168910609,13.920848488569014
60502.909333844495,7.533380986145507,5.731824124869714,4.23,33579.631512167616,1022781.1707429125,13.838037090435455
60910.893793329706,5.635466737613911,7.325973781241172,4.2,43347.80400115452,1274474.5458934947,14.058045315398456
73931.97852158835,6.39410766659858,4.580839920871763,4.32,36543.067280548086,1213530.8498658694,14.00904555008856
59539.94845013643,6.018590243347785,7.007676165647252,5.43,58600.82714967577,1411730.4772588315,14.160327507037344
56547.50718740383,5.435415182555817,6.515149876905348,3.13,37585.27457622871,858685.5659249562,13.66315925187179
65950.34701683298,5.476513157767185,6.71784430631321,3.28,40110.84760495072,1200961.8209226294,13.99863414381578
74533.16208198754,6.679353130059197,5.919230725467024,4.0,49481.56580760432,1520234.2293774572,14.234375637018339
66422.91905176673,7.122071850326434,7.078583744940183,6.36,31019.324820690395,1360908.3196200058,14.123663651654878
74334.49484891063,5.419012564079195,6.261535284081697,4.12,41640.43566065672,1360920.5303860817,14.123672624119921
63538.34615822216,4.764499308149973,7.168662410843209,3.27,43282.18300425021,1146532.4547405615,13.952253560741473
83953.10483909659,7.385134534015018,6.898846568957157,3.08,37283.35764595176,1789098.5206914945,14.397222990173063
57279.06357585893,5.118108904793296,6.561520216102696,3.17,44023.79068493212,852099.4640268538,13.65545971438444
56553.5502526617,5.691129212559008,7.021252354277723,3.15,29682.409864227804,746096.728900488,13.522611874493691
75795.57598259096,5.786780023806823,7.327325342996355,6.25,33197.77774263014,1534479.906564421,14.243702710191249
70848.78865873713,5.282325020456477,6.7664446637172535,3.27,40458.73586951741,1215608.5310559657,14.010756180612633
59787.40450393624,5.653120315532116,6.594592279140103,3.43,32402.107549146836,941594.3284107696,13.755330873584938
64826.37189495595,4.010907337105416,8.290419812591507,4.38,60286.04310135768,1204598.0374631258,14.001657320540406
65925.8537962682,7.605511953651169,7.070409540665196,3.28,34171.360073668664,1597655.2584122843,14.284048274792903
64419.25263834638,6.954422125564921,8.51616004802799,6.16,39318.17075472386,1492011.495862129,14.215636434953485
58544.460298238766,8.562610576392464,7.276308629143928,4.28,30865.58695374529,1421216.5044408585,14.167024459715739
68791.79168848526,4.7255522284996285,6.704201604222819,4.11,48423.32244417688,1132522.9012947134,13.939959241012614
82061.56520383859,4.18282822762296,5.963031884078483,4.1,36271.408495749216,1102821.4381808082,13.91338330447975
80659.52544359624,5.43630620204688,7.100753431803772,6.24,52947.03636008709,1856211.350359604,14.434048598692895
66668.09352103536,6.184965338620103,7.863127436732537,3.35,47075.21223266851,1687998.9329604746,14.33905491442268
64721.56449637062,5.677637526773959,6.971331701061323,4.48,36115.81636440278,1063423.0072648665,13.877004455747201
65199.989940295,6.4457428983166905,6.937127028132983,3.2,28366.035431853423,1177289.88620479,13.97872649776799
74579.98952724633,4.639654130697788,5.521489298839982,3.07,42806.14664380127,1173474.3788373224,13.975480313087898
76273.67032549286,7.879751800787583,4.500165347584368,3.39,46974.57878575339,1637259.9986677852,14.308535280827035
67561.94206013891,5.251400747142777,7.658576338909918,4.04,35517.54187040426,1238938.2905319994,14.02976616064728
72145.96721315151,6.398625990192602,8.258634923487291,6.06,28882.900854673742,1439506.1015570092,14.179811322371979
70805.61068360135,4.44372892384246,5.809147305516637,3.3,29268.826741684727,585608.6326222321,13.28040869064394
65383.33791728687,7.512526778745121,6.640032003754,3.46,35114.402463487364,1294685.158547012,14.073778875132259
95450.29308601316,6.595060684781336,6.850361008137979,3.33,39388.515521077454,2014851.344161515,14.516056472346177
73698.69635729125,6.3727309322299455,6.578352073763631,4.33,51815.09641862213,1840236.005802689,14.425404928791655
66263.91050116325,6.374930066018735,6.7369741310107445,4.41,49829.9515004814,1441421.912993609,14.181141317692468
75394.75958162155,6.933352467549662,7.834099800649182,4.48,22268.07530558209,1498640.5506503703,14.220069622839452
65984.75064485827,6.512270085009224,6.316480020228284,2.38,21867.47693989448,954746.5764328244,13.769202266653354
66477.26279229036,6.982151725125714,6.038487979300023,2.37,32458.98669901376,1124635.9316285902,13.932970814091696
69284.25963691327,5.3474470914238745,7.173425885179992,3.45,40282.72428010049,1169944.2477587468,13.972467508891539
70404.49610371923,5.544083725506495,6.001261362192467,2.02,37127.9255010042,1114430.95342313,13.923855374244786
74218.4890218834,8.069721867473751,6.506374302162949,4.37,46770.6609678888,1783534.838827364,14.394108378239892
63441.71464512622,6.471673726586273,7.064811136062072,3.22,48061.75267334161,1302933.247569278,14.08012939249241
57493.924570279465,6.8932601570417855,6.734045416240348,4.41,47039.21532294127,1241483.6118732512,14.031818489067598
81543.77731533442,5.503923196339867,5.897052836266327,2.14,9816.300884708531,954114.5439535476,13.768540058351855
78633.97375508897,5.465393231160197,7.53114301190621,3.24,43728.803486197095,1555320.5000011197,14.257192834637433
52202.85371971352,4.869306181391179,4.414380865779894,2.23,42165.81245686793,404976.365896227,12.911586457850975
67980.38878192916,5.562938814255565,6.159705222415725,2.44,25909.079196423907,1073183.759841627,13.8861411967634
78568.44916405229,5.475737319995329,6.291600795963247,2.29,41016.64709111233,1422195.8794505682,14.167713332258545
55472.65482690559,4.822147136010048,5.8559723089516895,3.2,15353.956428663045,340605.2113124609,12.73848228342865
67579.23479443134,5.973219004488523,7.754357545442311,6.32,21762.94968562536,1170959.5262846122,13.973334932604859
61456.15070378085,6.882954326433157,6.417572621814379,4.19,30821.41208657685,942838.1647218134,13.75665099004026
60815.39039496142,7.170128530473722,7.984335122159103,4.11,31233.649345910067,1401613.9197693218,14.153135643920196
51217.181160371845,5.384841407498108,8.776160033559263,3.41,47089.47508109751,1175504.48633204,13.97720881418407
